b,remote_action,count,mean_velocity_mean,mean_velocity_min,mean_velocity_max
0.00,1,19,0.573938897947,0.000000000000,1.206082159856
0.56,0,19,0.502329102096,0.000000000000,1.270461676946
0.56,1,19,0.447008050639,0.000000000000,1.196581184013
