rho,b,mean_velocity,remote_action
0.11560693641618497,0.56,1.270461676945725,0
0.11560693641618497,0.0,1.1678245455894158,1
0.11560693641618497,0.56,1.1513047787272987,1
0.2890173410404624,0.56,1.1928575813073437,0
0.2890173410404624,0.0,1.206082159856025,1
0.2890173410404624,0.56,1.1809375512483269,1
0.40462427745664736,0.56,1.2083909910668689,0
0.40462427745664736,0.0,1.1950815993051778,1
0.40462427745664736,0.56,1.1965811840133438,1
0.5780346820809248,0.56,1.1259881545011958,0
0.5780346820809248,0.0,1.1605963397616894,1
0.5780346820809248,0.56,1.143987150646754,1
0.6936416184971098,0.56,1.1516692522991396,0
0.6936416184971098,0.0,1.1471240042331374,1
0.6936416184971098,0.56,1.0708219656945537,1
0.8670520231213873,0.56,0.8284446235003757,0
0.8670520231213873,0.0,1.1054616016113505,1
0.8670520231213873,0.56,0.8400259114589516,1
0.9826589595375722,0.56,0.6542753772768244,0
0.9826589595375722,0.0,1.1242426345997012,1
0.9826589595375722,0.56,0.6795787003513504,1
1.1560693641618496,0.56,0.48472926401138905,0
1.1560693641618496,0.0,0.7918486101545951,1
1.1560693641618496,0.56,0.4760533603017954,1
1.2716763005780347,0.56,0.4035362140741819,0
1.2716763005780347,0.0,0.658866351125481,1
1.2716763005780347,0.56,0.3657986759199772,1
1.445086705202312,0.56,0.3088789880939886,0
1.445086705202312,0.0,0.47662191075325616,1
1.445086705202312,0.56,0.22615479169645217,1
1.6184971098265895,0.56,0.23740200564443012,0
1.6184971098265895,0.0,0.33994095822854903,1
1.6184971098265895,0.56,0.11305948695422378,1
1.7341040462427746,0.56,0.19825760415336105,0
1.7341040462427746,0.0,0.26132422891632,1
1.7341040462427746,0.56,0.04884940512393522,1
1.9075144508670518,0.56,0.14904193422609438,0
1.9075144508670518,0.0,0.16490575647198272,1
1.9075144508670518,0.56,4.937184908669076e-13,1
2.0231213872832368,0.56,0.1212416086202036,0
2.0231213872832368,0.0,0.10491836037719252,1
2.0231213872832368,0.56,4.4707376092271473e-13,1
2.1965317919075145,0.56,0.08547030365008547,0
2.1965317919075145,0.0,0.0,1
2.1965317919075145,0.56,3.64552012905267e-13,1
2.312138728323699,0.56,0.06477011871960611,0
2.312138728323699,0.0,0.0,1
2.312138728323699,0.56,2.9117240070046747e-13,1
2.485549132947977,0.56,0.03745430830124026,0
2.485549132947977,0.0,0.0,1
2.485549132947977,0.56,1.760620770438104e-13,1
2.6011560693641615,0.56,0.021382933431399694,0
2.6011560693641615,0.0,0.0,1
2.6011560693641615,0.56,1.0761496740704389e-13,1
2.7745664739884393,0.56,0.0,0
2.7745664739884393,0.0,0.0,1
2.7745664739884393,0.56,0.0,1
